"url","depth","content_type","raw_file"
"https://daihoc.fpt.edu.vn/chuyen-nganh/quan-tri-thu-mua/","1","text/html","data/raw/fpt_admission/html/bee1ac1d31330d82e646da04.html"
"https://daihoc.fpt.edu.vn/chuyen-nganh/quan-tri-trai-nghiem-khach-hang/","1","text/html","data/raw/fpt_admission/html/6a2e89c1a2f4e323f07f44fd.html"
"https://daihoc.fpt.edu.vn/chuyen-nganh/robot-va-tri-tue-nhan-tao-dinh-huong-uav-va-humanoid/","1","text/html","data/raw/fpt_admission/html/2b3d5bffe87fe2efae829ef7.html"
"https://daihoc.fpt.edu.vn/chuyen-nganh/tai-chinh-doanh-nghiep/","1","text/html","data/raw/fpt_admission/html/8ffd55c88fccc8b739dc2781.html"
"https://daihoc.fpt.edu.vn/chuyen-nganh/tai-chinh-ngan-hang/","1","text/html","data/raw/fpt_admission/html/f031a2f67e62b334fb1d15a5.html"
"https://daihoc.fpt.edu.vn/chuyen-nganh/tai-chinh-thong-minh/","1","text/html","data/raw/fpt_admission/html/bb66a488b4f30f0b9ba87b7d.html"
"https://daihoc.fpt.edu.vn/chuyen-nganh/thiet-ke-do-hoa-va-my-thuat-so/","1","text/html","data/raw/fpt_admission/html/8e9e39ebc610a98b1fe842d9.html"
"https://daihoc.fpt.edu.vn/chuyen-nganh/thiet-ke-vi-mach-ban-dan/","1","text/html","data/raw/fpt_admission/html/00a773e6e04b14fd32f496b3.html"
"https://daihoc.fpt.edu.vn/chuyen-nganh/thuong-mai-dien-tu/","1","text/html","data/raw/fpt_admission/html/99a03152acf28749b4f6ff68.html"
"https://daihoc.fpt.edu.vn/chuyen-nganh/tieng-anh-thuong-mai/","1","text/html","data/raw/fpt_admission/html/3b988f568c9bbdfb956fc28b.html"
"https://daihoc.fpt.edu.vn/chuyen-nganh/tieng-han-thuong-mai/","1","text/html","data/raw/fpt_admission/html/5efa193ba3c1b03bc65bc025.html"
"https://daihoc.fpt.edu.vn/chuyen-nganh/tieng-trung-thuong-mai/","1","text/html","data/raw/fpt_admission/html/cc54f01b204ed36b7a32bf42.html"
"https://daihoc.fpt.edu.vn/chuyen-nganh/tri-tue-nhan-tao/","1","text/html","data/raw/fpt_admission/html/608463d05fbaff0c71488c87.html"
